"review_score","purchase_date","approved_date","delivered_date"
4,"2018-07-24","2018-07-26","2018-08-07"
5,"2018-08-08","2018-08-08","2018-08-17"
5,"2018-02-13","2018-02-13","2018-02-16"
5,"2018-06-07","2018-06-09","2018-06-19"
5,"2018-07-25","2018-07-25","2018-07-30"
4,"2018-03-01","2018-03-01","2018-03-12"
5,"2018-06-07","2018-06-12","2018-06-21"
5,"2018-03-15","2018-03-15","2018-03-19"
3,"2018-02-03","2018-02-03","2018-02-08"
4,"2018-01-08","2018-01-08","2018-01-26"
5,"2018-08-09","2018-08-10","2018-08-13"
2,"2018-02-20","2018-02-22","2018-03-21"
1,"2018-06-04","2018-06-05","2018-06-16"
5,"2018-03-12","2018-03-12","2018-03-21"
4,"2018-05-02","2018-05-03","2018-05-16"
4,"2018-02-25","2018-02-25","2018-03-27"
1,"2018-04-16","2018-04-16","2018-05-05"
5,"2018-02-03","2018-02-03","2018-02-22"
5,"2018-07-29","2018-07-29","2018-07-31"
5,"2018-02-17","2018-02-17","2018-03-20"
4,"2018-02-21","2018-02-23","2018-03-13"
5,"2018-06-01","2018-06-05","2018-06-18"
3,"2018-03-26","2018-03-26","2018-04-05"
4,"2018-08-04","2018-08-04","2018-08-13"
5,"2018-05-17","2018-05-18","2018-05-21"
5,"2018-07-29","2018-07-29","2018-08-02"
5,"2018-02-01","2018-02-03","2018-02-14"
5,"2018-06-26","2018-06-27","2018-07-03"
1,"2018-07-26","2018-07-26","2018-07-31"
5,"2018-06-11","2018-06-11","2018-06-19"
5,"2018-06-11","2018-06-11","2018-06-14"
1,"2018-03-09","2018-03-09","2018-04-03"
5,"2018-08-05","2018-08-05","2018-08-10"
4,"2018-02-19","2018-02-21","2018-03-09"
4,"2018-04-22","2018-04-24","2018-04-24"
3,"2018-01-07","2018-01-07","2018-01-17"
4,"2018-02-10","2018-02-10","2018-02-20"
5,"2018-06-18","2018-06-18","2018-06-22"
5,"2018-06-13","2018-06-15","2018-06-18"
3,"2018-07-15","2018-07-16","2018-07-24"
5,"2018-04-13","2018-04-13","2018-04-19"
4,"2018-02-15","2018-02-15","2018-02-24"
5,"2018-07-28","2018-07-31","2018-08-06"
4,"2018-08-26","2018-08-28","2018-08-29"
4,"2018-02-27","2018-03-01","2018-03-16"
5,"2018-05-11","2018-05-11","2018-05-21"
